detail_id,order_id,item_id,quantity,unit_price,subtotal,notes
DTL00001,ORD00001,ITEM012,1,51000,51000,
DTL00002,ORD00002,ITEM076,1,28000,28000,
DTL00003,ORD00003,ITEM004,3,29000,87000,
DTL00004,ORD00004,ITEM016,1,40000,40000,
DTL00005,ORD00004,ITEM068,1,39000,39000,
DTL00006,ORD00004,ITEM017,2,36000,72000,panas
DTL00007,ORD00004,ITEM024,1,27000,27000,
DTL00008,ORD00005,ITEM074,1,27000,27000,
DTL00009,ORD00006,ITEM050,1,27000,27000,
DTL00010,ORD00007,ITEM069,1,60000,60000,
DTL00011,ORD00008,ITEM013,2,40000,80000,
DTL00012,ORD00009,ITEM040,1,24000,24000,
DTL00013,ORD00009,ITEM051,1,49000,49000,
DTL00014,ORD00010,ITEM043,3,27000,81000,
DTL00015,ORD00011,ITEM008,1,36000,36000,
DTL00016,ORD00012,ITEM056,1,51000,51000,
DTL00017,ORD00013,ITEM080,1,34000,34000,
DTL00018,ORD00013,ITEM025,1,41000,41000,
DTL00019,ORD00013,ITEM010,1,35000,35000,
DTL00020,ORD00014,ITEM044,3,39000,117000,
DTL00021,ORD00014,ITEM003,1,37000,37000,
DTL00022,ORD00015,ITEM030,1,27000,27000,
DTL00023,ORD00016,ITEM018,2,29000,58000,
DTL00024,ORD00016,ITEM012,1,51000,51000,
DTL00025,ORD00017,ITEM051,1,49000,49000,
DTL00026,ORD00017,ITEM016,1,40000,40000,
DTL00027,ORD00018,ITEM067,1,63000,63000,
DTL00028,ORD00019,ITEM049,2,28000,56000,
DTL00029,ORD00020,ITEM045,1,36000,36000,extra shot
DTL00030,ORD00020,ITEM073,1,22000,22000,
DTL00031,ORD00020,ITEM016,2,40000,80000,
DTL00032,ORD00021,ITEM042,1,33000,33000,
DTL00033,ORD00021,ITEM005,1,28000,28000,
DTL00034,ORD00022,ITEM030,3,27000,81000,less ice
DTL00035,ORD00023,ITEM032,1,27000,27000,
DTL00036,ORD00023,ITEM009,2,24000,48000,
DTL00037,ORD00023,ITEM033,2,39000,78000,
DTL00038,ORD00023,ITEM035,1,30000,30000,
DTL00039,ORD00024,ITEM028,1,27000,27000,
DTL00040,ORD00025,ITEM066,1,45000,45000,
DTL00041,ORD00025,ITEM074,1,27000,27000,gula sedikit
DTL00042,ORD00026,ITEM064,1,38000,38000,
DTL00043,ORD00027,ITEM077,1,23000,23000,
DTL00044,ORD00028,ITEM033,1,39000,39000,
DTL00045,ORD00028,ITEM063,1,67000,67000,
DTL00046,ORD00029,ITEM009,1,24000,24000,
DTL00047,ORD00029,ITEM012,1,51000,51000,
DTL00048,ORD00029,ITEM011,1,49000,49000,
DTL00049,ORD00030,ITEM007,1,24000,24000,
DTL00050,ORD00030,ITEM043,1,27000,27000,
DTL00051,ORD00030,ITEM046,1,29000,29000,
DTL00052,ORD00031,ITEM004,1,29000,29000,
DTL00053,ORD00031,ITEM041,1,26000,26000,tanpa gula
DTL00054,ORD00032,ITEM077,1,23000,23000,
DTL00055,ORD00033,ITEM024,1,27000,27000,
DTL00056,ORD00033,ITEM025,1,41000,41000,
DTL00057,ORD00033,ITEM007,1,24000,24000,
DTL00058,ORD00034,ITEM006,1,50000,50000,
DTL00059,ORD00034,ITEM034,1,30000,30000,
DTL00060,ORD00035,ITEM018,1,29000,29000,
DTL00061,ORD00036,ITEM010,2,35000,70000,
DTL00062,ORD00037,ITEM067,1,63000,63000,
DTL00063,ORD00037,ITEM054,1,65000,65000,
DTL00064,ORD00038,ITEM016,1,40000,40000,
DTL00065,ORD00039,ITEM024,1,27000,27000,
DTL00066,ORD00040,ITEM049,1,28000,28000,
DTL00067,ORD00040,ITEM047,1,20000,20000,
DTL00068,ORD00040,ITEM024,1,27000,27000,
DTL00069,ORD00041,ITEM074,1,27000,27000,
DTL00070,ORD00041,ITEM057,1,72000,72000,less ice
DTL00071,ORD00042,ITEM028,1,27000,27000,
DTL00072,ORD00043,ITEM007,1,24000,24000,
DTL00073,ORD00043,ITEM050,1,27000,27000,
DTL00074,ORD00044,ITEM011,1,49000,49000,
DTL00075,ORD00045,ITEM046,1,29000,29000,
DTL00076,ORD00046,ITEM077,1,23000,23000,tanpa susu
DTL00077,ORD00046,ITEM005,1,28000,28000,
DTL00078,ORD00047,ITEM036,1,25000,25000,
DTL00079,ORD00047,ITEM064,1,38000,38000,
DTL00080,ORD00048,ITEM064,1,38000,38000,
DTL00081,ORD00048,ITEM068,1,39000,39000,
DTL00082,ORD00048,ITEM043,1,27000,27000,
DTL00083,ORD00049,ITEM043,1,27000,27000,extra shot
DTL00084,ORD00049,ITEM011,2,49000,98000,
DTL00085,ORD00049,ITEM025,2,41000,82000,
DTL00086,ORD00050,ITEM004,1,29000,29000,
DTL00087,ORD00051,ITEM069,1,60000,60000,less sugar
DTL00088,ORD00051,ITEM066,1,45000,45000,
DTL00089,ORD00052,ITEM067,1,63000,63000,
DTL00090,ORD00053,ITEM053,1,68000,68000,
DTL00091,ORD00054,ITEM069,1,60000,60000,
DTL00092,ORD00055,ITEM050,1,27000,27000,
DTL00093,ORD00055,ITEM019,2,47000,94000,
DTL00094,ORD00056,ITEM006,1,50000,50000,tanpa gula
DTL00095,ORD00057,ITEM053,2,68000,136000,
DTL00096,ORD00058,ITEM057,1,72000,72000,
DTL00097,ORD00058,ITEM051,2,49000,98000,
DTL00098,ORD00058,ITEM029,2,37000,74000,
DTL00099,ORD00059,ITEM044,1,39000,39000,
DTL00100,ORD00060,ITEM042,1,33000,33000,
DTL00101,ORD00060,ITEM008,1,36000,36000,extra shot
DTL00102,ORD00060,ITEM010,2,35000,70000,
DTL00103,ORD00060,ITEM059,1,73000,73000,
DTL00104,ORD00061,ITEM055,1,52000,52000,
DTL00105,ORD00062,ITEM073,1,22000,22000,
DTL00106,ORD00062,ITEM076,1,28000,28000,
DTL00107,ORD00063,ITEM010,1,35000,35000,less ice
