order_id,outlet_id,order_date,order_time,total_amount,payment_method,order_type,staff_id
ORD00356,OUT001,2022-01-01,18:07:55,52000,OVO,dine_in,STF002
ORD00211,OUT008,2022-01-02,07:58:07,51000,Tunai,delivery,STF046
ORD00644,OUT003,2022-01-02,11:49:41,52000,GoPay,dine_in,STF014
ORD00840,OUT010,2022-01-02,12:48:29,204000,Tunai,dine_in,STF060
ORD00707,OUT010,2022-01-02,17:58:44,25000,Tunai,takeaway,STF060
ORD00221,OUT008,2022-01-02,19:40:51,50000,OVO,takeaway,STF047
ORD00716,OUT005,2022-01-03,18:53:00,27000,GoPay,dine_in,STF026
ORD00237,OUT009,2022-01-04,13:42:40,50000,Kartu Debit,dine_in,STF053
ORD00770,OUT007,2022-01-04,19:01:23,38000,OVO,dine_in,STF041
ORD00213,OUT002,2022-01-05,12:21:22,256000,QRIS,takeaway,STF009
ORD00987,OUT002,2022-01-06,07:19:28,116000,QRIS,delivery,STF012
ORD00896,OUT011,2022-01-06,16:33:06,38000,Kartu Debit,delivery,STF065
ORD00553,OUT002,2022-01-06,18:58:08,24000,OVO,delivery,STF011
ORD00264,OUT008,2022-01-06,18:59:51,29000,QRIS,dine_in,STF044
ORD00314,OUT010,2022-01-08,19:07:19,18000,QRIS,takeaway,STF055
ORD00009,OUT008,2022-01-08,20:55:41,73000,GoPay,dine_in,STF046
ORD00702,OUT008,2022-01-09,12:17:01,24000,QRIS,delivery,STF047
ORD00417,OUT010,2022-01-09,12:37:03,156000,GoPay,dine_in,STF058
ORD00434,OUT009,2022-01-10,08:27:56,51000,GoPay,dine_in,STF051
ORD00317,OUT004,2022-01-10,18:24:14,87000,QRIS,takeaway,STF019
ORD00640,OUT002,2022-01-11,10:34:18,30000,GoPay,takeaway,STF011
ORD00306,OUT011,2022-01-12,15:58:35,95000,QRIS,takeaway,STF065
ORD00597,OUT004,2022-01-12,17:30:17,109000,Kartu Debit,delivery,STF019
ORD00282,OUT002,2022-01-14,09:06:16,101000,Tunai,dine_in,STF007
ORD00478,OUT007,2022-01-14,18:09:41,96000,OVO,takeaway,STF042
ORD00681,OUT005,2022-01-15,09:36:24,160000,GoPay,delivery,STF026
ORD00416,OUT008,2022-01-15,12:31:04,91000,Tunai,delivery,STF045
ORD00283,OUT003,2022-01-15,12:55:58,213000,OVO,takeaway,STF017
ORD00446,OUT007,2022-01-15,19:19:29,28000,QRIS,takeaway,STF040
ORD00650,OUT006,2022-01-16,08:05:15,86000,GoPay,dine_in,STF035
